latitude,longitude,A_bolivica
-28.46088,-65.77791,1
-28.46088,-65.77791,1
-28.46088,-65.77791,1
-28.46088,-65.77791,1
-28.46088,-65.77791,1
-28.32865,-65.7235,1
-25.009452,-60.9959245,1
-27.66666667,-60.93333333,1
-26.78691,-60.43343,1
-25.36666667,-62.03333333,1
-26.88446,-60.90489,1
-25.26805556,-62.27055556,1
-25.65694444,-61.14611111,1
-27,-61,1
-32.22536,-64.59869,1
-31.95927,-65.09219,1
-29.80493,-64.70805,1
-30.8102,-62.8597,1
-27.48714,-58.8099,1
-27.48714,-58.8099,1
-27.48714,-58.8099,1
-27.48714,-58.8099,1
-27.48714,-58.8099,1
-25.737788,-59.1115501,1
-23.89359,-61.8522,1
-23.89359,-61.8522,1
-23.89359,-61.8522,1
-24.70322,-60.59307,1
-25.73361111,-59.10833333,1
-26.73361111,-59.10861111,1
-25.5,-60,1
-26,-58.5,1
-25.26666667,-62.42333333,1
-23.33804,-65.66682,1
-23.64605,-64.47181,1
-23.64605,-64.47181,1
-30.36289,-66.31447,1
-30.36289,-66.31447,1
-30.04416,-66.88108,1
-30.04416,-66.88108,1
-30.04416,-66.88108,1
-23.21292,-63.56654,1
-25.11714,-64.12564,1
-25.11714,-64.12564,1
-25.11714,-64.12564,1
-25.11714,-64.12564,1
-23.13679,-64.3181,1
-23.13679,-64.3181,1
-23.26066,-63.74103,1
-24.33274,-67.01542,1
-24.65,-63.28333333,1
-25.11729,-64.12534,1
-30.81416667,-67.36083333,1
-32.39787223,-65.92117985,1
-32.39787223,-65.92117985,1
-32.39527778,-65.91722222,1
-31.45696,-60.85408,1
-29.22942,-61.77321,1
-27.8293,-64.06136,1
-27.8293,-64.06136,1
-27.8293,-64.06136,1
-27.8293,-64.06136,1
-27.8293,-64.06136,1
-27.8293,-64.06136,1
-27.8293,-64.06136,1
-27.92307,-63.89197,1
-27.20854247,-63.0184571,1
-27.47004167,-62.66814167,1
-27.73065525,-64.26983142,1
-27.78316,-64.26979,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.82119,-65.21985,1
-26.81861111,-65.19361111,1
-26.82119,-65.21985,1
-26.85108,-65.7021,1
-14.63333333,-66.3,1
-11.00695,-66.05765,1
-17.45833,-63.66281,1
-17.45833,-63.66281,1
-20,-63.17,1
-20,-63.17,1
-20,-63.17,1
-17.80967,-63.15179,1
-17.77116397,-63.20481997,1
-21.81531,-63.53917,1
-21.26028,-63.4608,1
-21.26028,-63.4608,1
-21.26028,-63.4608,1
-21.26028,-63.4608,1
-24.0721,-57.9527,1
-22.40410508,-60.03530881,1
-22.35,-60.1,1
-22.35,-60.1,1
-22.35,-60.03333333,1
-23.35,-60.05,1
-24.35,-60.06666667,1
-25.35,-60.08333333,1
-26.35,-60.1,1
-27.35,-60.11666667,1
-22.35,-60.1,1
-22.35,-60.1,1
-22.3530855,-60.01830015,1
-22.35,-60.1,1
-22.45,-62.35,1
-22.38333333,-59.85,1
-22.558221,-60.06689,1
-21.08333333,-61.13333333,1
-24.01666667,-58.38333333,1
