"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"1",253,266,228,1785,295,49,55,784,168,521,168,111,65,1572,328,159,169,263,228
"2",259,267,247,1447,235,11,68,672,52,338,94,123,71,911,344,172,172,263,249
"3",263,272,250,1435,244,11,68,679,53,337,87,122,70,883,349,177,172,267,252
"4",263,272,250,1435,244,11,68,679,53,337,87,122,70,883,349,177,172,267,252
"5",263,272,250,1435,244,11,68,679,53,337,87,122,70,883,349,177,172,267,252
"6",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"7",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"8",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"9",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"10",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"11",258,272,235,1874,317,43,58,844,144,587,144,114,65,1544,336,163,173,270,235
"12",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"13",241,262,208,1241,203,45,46,524,156,524,191,103,62,2211,316,152,164,262,224
"14",198,216,172,581,101,11,68,293,48,293,48,121,69,1756,275,102,173,216,174
"15",244,263,212,1027,175,16,60,477,79,326,122,128,65,2082,334,138,196,261,230
"16",242,263,209,1228,204,40,49,535,152,535,175,105,63,2210,319,153,166,263,211
"17",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"18",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"19",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"20",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"21",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"22",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
"23",241,262,208,1179,198,48,45,497,158,497,190,104,62,2208,318,152,166,262,225
